CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0190,0.9991280496207182
C0001,C0048,0.9985549669783969
C0001,C0039,0.9971234312002943
C0002,C0088,0.9956258220427743
C0002,C0134,0.9940233256330144
C0002,C0106,0.9909950807971823
C0003,C0052,0.9994753887909381
C0003,C0152,0.9973648087707112
C0003,C0031,0.9949596186919356
C0004,C0165,0.9964110177123071
C0004,C0155,0.9958511749783084
C0004,C0169,0.9883064233925393
C0005,C0186,0.9980459599013688
C0005,C0146,0.9950990484776819
C0005,C0007,0.9935131665294032
C0006,C0171,0.9957133679439153
C0006,C0168,0.9955197439284246
C0006,C0187,0.9938310753339714
C0007,C0115,0.9948869693715738
C0007,C0140,0.9937928422953854
C0007,C0005,0.9935131665294032
C0008,C0065,0.9771514109782939
C0008,C0059,0.9626013863926197
C0008,C0189,0.9560011983815638
C0009,C0010,0.9940209077056662
C0009,C0198,0.9933163009964395
C0009,C0062,0.9899589873449225
C0010,C0111,0.9975444119605092
C0010,C0103,0.9965126858630227
C0010,C0062,0.9956858039269744
C0011,C0137,0.9986136076934837
C0011,C0169,0.9963154018000111
C0011,C0126,0.9962591788589052
C0012,C0104,0.9966425232819943
C0012,C0195,0.9963914591480045
C0012,C0113,0.9955907187920061
C0013,C0099,0.9981255709132647
C0013,C0108,0.9959466334565696
C0013,C0107,0.986134049671424
C0014,C0060,0.990932990947327
C0014,C0166,0.9603930063842189
C0014,C0086,0.9463418854712528
C0015,C0036,0.9939524607777271
C0015,C0131,0.9932210956465563
C0015,C0125,0.9719562725698522
C0016,C0183,0.9999967256028369
C0016,C0067,0.9969432465154209
C0016,C0030,0.9890312628883883
C0017,C0075,0.9969645232935299
C0017,C0081,0.9890260069588557
C0017,C0057,0.9846222947457475
C0018,C0117,0.9955782721058042
C0018,C0125,0.9866676416690761
C0018,C0046,0.9844114653245969
C0019,C0081,0.9847018946340892
C0019,C0121,0.9787226991107592
C0019,C0017,0.9709670834435209
C0020,C0050,0.9839869610981374
C0020,C0026,0.9704758621886385
C0020,C0035,0.9662135660987795
